post_id,published_date,platform,topic,content_type,text,sentiment_score,sentiment_label,reach,likes,comments,shares,saves,engagement_rate
18,2026-04-01,Instagram,data analytics,image,weak engagement result for data analytics #dataanalytics,-1,Negative,1015,27,18,12,3,5.91
19,2026-02-03,X,personal finance,text,simple dashboard insights for personal finance #personalfinance,1,Positive,482,42,6,3,5,11.62
20,2026-04-22,X,data analytics,short,smart data analytics for data analytics #dataanalytics,1,Positive,1095,77,13,23,10,11.23
21,2026-02-18,LinkedIn,fintech,video,smart data analytics for fintech #fintech,1,Positive,1473,95,6,38,10,10.12
22,2026-04-08,TikTok,ecommerce,carousel,smart data analytics for ecommerce #ecommerce,1,Positive,2643,160,51,42,36,10.93
23,2026-03-11,Instagram,data analytics,image,product feature overview for data analytics #dataanalytics,0,Neutral,1389,36,10,14,4,4.61
24,2026-07-29,Instagram,fintech,image,customer feedback summary for fintech #fintech,0,Neutral,1088,91,15,19,11,12.5
25,2026-07-01,X,fintech,text,simple dashboard insights for fintech #fintech,1,Positive,747,76,11,9,1,12.99
26,2026-08-09,Facebook,small business,video,product feature overview for small business #smallbusiness,0,Neutral,987,87,12,14,5,11.96
27,2026-08-01,TikTok,ecommerce,video,clear financial education for ecommerce #ecommerce,1,Positive,2482,166,26,67,29,11.6
28,2026-02-07,LinkedIn,fintech,image,simple dashboard insights for fintech #fintech,1,Positive,865,37,5,5,11,6.71
29,2026-09-04,X,personal finance,video,smart data analytics for personal finance #personalfinance,1,Positive,1172,123,25,8,13,14.42
30,2026-04-17,Facebook,mobile money,video,simple dashboard insights for mobile money #mobilemoney,1,Positive,1470,112,26,30,6,11.84
31,2026-02-10,Facebook,personal finance,short,simple dashboard insights for personal finance #personalfinance,1,Positive,1123,48,23,13,13,8.64
32,2026-08-26,X,small business,video,weak engagement result for small business #smallbusiness,-1,Negative,765,48,10,15,9,10.72
33,2026-01-14,X,marketing,carousel,new campaign update for marketing #marketing,0,Neutral,670,60,3,11,8,12.24
34,2026-02-14,Instagram,mobile money,video,smart data analytics for mobile money #mobilemoney,1,Positive,2127,155,22,45,36,12.13
35,2026-04-17,X,small business,short,customer feedback summary for small business #smallbusiness,0,Neutral,1201,89,4,11,14,9.83
36,2026-02-23,LinkedIn,marketing,short,new campaign update for marketing #marketing,0,Neutral,1182,35,15,28,20,8.29
37,2026-06-02,Facebook,marketing,short,product feature overview for marketing #marketing,0,Neutral,1380,120,18,18,6,11.74
38,2026-05-31,Instagram,personal finance,image,slow support problem for personal finance #personalfinance,-2,Negative,1055,43,17,3,15,7.39
39,2026-03-08,LinkedIn,fintech,carousel,expensive campaign loss for fintech #fintech,-2,Negative,939,34,19,10,16,8.41
40,2026-01-26,Instagram,ecommerce,carousel,new campaign update for ecommerce #ecommerce,0,Neutral,1594,59,34,33,18,9.03
41,2026-06-12,X,mobile money,video,simple dashboard insights for mobile money #mobilemoney,1,Positive,1235,86,22,27,11,11.82
42,2026-05-02,LinkedIn,ecommerce,image,fast mobile money growth for ecommerce #ecommerce,2,Positive,1047,76,22,12,6,11.08
43,2026-02-24,Instagram,small business,text,clear financial education for small business #smallbusiness,1,Positive,1260,48,14,17,21,7.94
44,2026-08-10,LinkedIn,fintech,text,product feature overview for fintech #fintech,0,Neutral,564,16,11,8,3,6.74
45,2026-03-18,Instagram,data analytics,carousel,simple dashboard insights for data analytics #dataanalytics,1,Positive,1576,129,20,12,6,10.6
46,2026-02-27,X,mobile money,video,product feature overview for mobile money #mobilemoney,0,Neutral,981,63,14,21,13,11.31
47,2026-07-05,Instagram,marketing,image,weak engagement result for marketing #marketing,-1,Negative,1003,53,12,16,15,9.57
48,2026-05-24,TikTok,marketing,video,simple dashboard insights for marketing #marketing,1,Positive,2984,117,23,72,36,8.31
49,2026-01-27,LinkedIn,ecommerce,short,slow support problem for ecommerce #ecommerce,-2,Negative,1044,64,20,19,15,11.3
50,2026-08-22,Instagram,data analytics,image,confusing user journey for data analytics #dataanalytics,-1,Negative,1066,78,21,17,9,11.73
51,2026-07-24,Facebook,fintech,image,brand awareness post for fintech #fintech,0,Neutral,928,55,15,13,11,10.13
52,2026-03-16,X,data analytics,video,fast mobile money growth for data analytics #dataanalytics,2,Positive,1166,91,11,10,10,10.46
53,2026-06-02,LinkedIn,personal finance,short,confusing user journey for personal finance #personalfinance,-1,Negative,1169,59,19,27,7,9.58
54,2026-02-24,Instagram,personal finance,image,smart data analytics for personal finance #personalfinance,1,Positive,1535,125,19,12,16,11.21
55,2026-07-24,X,fintech,carousel,clear financial education for fintech #fintech,1,Positive,871,26,15,3,4,5.51
56,2026-02-09,X,personal finance,image,simple dashboard insights for personal finance #personalfinance,1,Positive,720,64,9,8,10,12.64
57,2026-03-24,X,personal finance,text,brand awareness post for personal finance #personalfinance,0,Neutral,609,43,12,8,6,11.33
58,2026-07-21,LinkedIn,personal finance,short,weak engagement result for personal finance #personalfinance,-1,Negative,1047,63,20,15,17,10.98
59,2026-08-24,TikTok,data analytics,video,risky payment delay for data analytics #dataanalytics,-1,Negative,1875,98,36,25,16,9.33
60,2026-01-11,Facebook,mobile money,image,weekly market note for mobile money #mobilemoney,0,Neutral,734,36,8,3,2,6.68
61,2026-03-09,TikTok,ecommerce,carousel,trusted customer service for ecommerce #ecommerce,1,Positive,2137,146,16,39,7,9.73
62,2026-08-23,LinkedIn,ecommerce,text,weak engagement result for ecommerce #ecommerce,-1,Negative,410,24,2,5,0,7.56
63,2026-03-27,Facebook,personal finance,short,weekly market note for personal finance #personalfinance,0,Neutral,1314,85,16,26,11,10.5
64,2026-07-19,LinkedIn,fintech,video,trusted customer service for fintech #fintech,1,Positive,1491,146,18,23,15,13.55
65,2026-01-07,Facebook,personal finance,carousel,slow support problem for personal finance #personalfinance,-2,Negative,460,13,5,5,4,5.87
66,2026-04-10,Facebook,marketing,video,product feature overview for marketing #marketing,0,Neutral,1481,82,9,6,22,8.04
67,2026-07-22,Instagram,marketing,text,expensive campaign loss for marketing #marketing,-2,Negative,884,25,11,2,11,5.54
68,2026-08-18,X,personal finance,text,new campaign update for personal finance #personalfinance,0,Neutral,535,45,6,2,4,10.65
69,2026-08-24,X,data analytics,carousel,clear financial education for data analytics #dataanalytics,1,Positive,882,40,13,9,3,7.37
70,2026-03-23,Instagram,small business,video,fast mobile money growth for small business #smallbusiness,2,Positive,2070,139,9,41,6,9.42
71,2026-04-05,X,personal finance,carousel,smart data analytics for personal finance #personalfinance,1,Positive,1016,33,23,8,10,7.28
72,2026-06-04,TikTok,ecommerce,carousel,weak engagement result for ecommerce #ecommerce,-1,Negative,1667,65,8,11,22,6.36
73,2026-06-25,Facebook,ecommerce,video,weekly market note for ecommerce #ecommerce,0,Neutral,1086,87,14,13,12,11.6
74,2026-01-23,Instagram,small business,short,product feature overview for small business #smallbusiness,0,Neutral,1626,137,39,23,22,13.59
75,2026-06-04,LinkedIn,personal finance,image,smart data analytics for personal finance #personalfinance,1,Positive,834,70,15,14,11,13.19
76,2026-07-05,TikTok,small business,carousel,fast mobile money growth for small business #smallbusiness,2,Positive,2175,117,23,49,18,9.52
77,2026-03-11,X,fintech,short,weak engagement result for fintech #fintech,-1,Negative,595,21,6,9,10,7.73
78,2026-01-05,LinkedIn,mobile money,short,trusted customer service for mobile money #mobilemoney,1,Positive,1548,81,17,15,20,8.59
79,2026-08-16,X,ecommerce,short,clear financial education for ecommerce #ecommerce,1,Positive,1157,61,13,25,14,9.77
80,2026-09-03,Facebook,marketing,carousel,expensive campaign loss for marketing #marketing,-2,Negative,863,40,11,4,3,6.72
81,2026-08-17,X,data analytics,carousel,trusted customer service for data analytics #dataanalytics,1,Positive,669,67,9,8,9,13.9
82,2026-01-15,X,fintech,video,clear financial education for fintech #fintech,1,Positive,1186,60,24,25,6,9.7
83,2026-05-01,TikTok,marketing,carousel,clear financial education for marketing #marketing,1,Positive,2385,133,24,52,14,9.35
84,2026-05-11,TikTok,ecommerce,carousel,fast mobile money growth for ecommerce #ecommerce,2,Positive,2311,104,11,13,38,7.18
85,2026-06-24,LinkedIn,marketing,image,fast mobile money growth for marketing #marketing,2,Positive,1084,98,16,17,6,12.64
86,2026-03-19,X,data analytics,short,brand awareness post for data analytics #dataanalytics,0,Neutral,1110,98,9,23,5,12.16
87,2026-02-24,LinkedIn,marketing,short,new campaign update for marketing #marketing,0,Neutral,1033,54,8,11,4,7.45
88,2026-04-18,TikTok,personal finance,text,confusing user journey for personal finance #personalfinance,-1,Negative,1382,65,28,10,13,8.39
89,2026-08-15,Facebook,small business,text,trusted customer service for small business #smallbusiness,1,Positive,1002,51,24,11,6,9.18
90,2026-06-30,Instagram,marketing,short,trusted customer service for marketing #marketing,1,Positive,2506,239,38,53,38,14.68
91,2026-03-28,Instagram,marketing,image,expensive campaign loss for marketing #marketing,-2,Negative,1016,63,24,15,13,11.32
92,2026-04-28,Instagram,personal finance,short,simple dashboard insights for personal finance #personalfinance,1,Positive,2173,224,24,48,8,13.99
93,2026-08-28,Facebook,fintech,text,fast mobile money growth for fintech #fintech,2,Positive,695,22,10,7,11,7.19
94,2026-07-09,TikTok,personal finance,carousel,customer feedback summary for personal finance #personalfinance,0,Neutral,2066,151,39,31,27,12.0
95,2026-09-02,TikTok,data analytics,text,new campaign update for data analytics #dataanalytics,0,Neutral,1115,100,15,15,12,12.74
96,2026-01-26,Instagram,fintech,image,slow support problem for fintech #fintech,-2,Negative,1066,66,11,13,16,9.94
97,2026-07-26,Instagram,ecommerce,short,smart data analytics for ecommerce #ecommerce,1,Positive,2446,252,39,29,14,13.65
98,2026-06-23,X,data analytics,image,fast mobile money growth for data analytics #dataanalytics,2,Positive,999,86,20,13,12,13.11
99,2026-06-21,Instagram,personal finance,text,clear financial education for personal finance #personalfinance,1,Positive,856,68,12,3,2,9.93
100,2026-03-08,X,mobile money,short,fast mobile money growth for mobile money #mobilemoney,2,Positive,637,54,11,2,4,11.15
101,2026-04-11,X,data analytics,image,simple dashboard insights for data analytics #dataanalytics,1,Positive,859,34,17,7,8,7.68
102,2026-03-01,TikTok,fintech,video,clear financial education for fintech #fintech,1,Positive,2405,139,43,19,16,9.02
103,2026-07-28,X,small business,image,weekly market note for small business #smallbusiness,0,Neutral,821,68,3,14,6,11.08
104,2026-08-20,Instagram,data analytics,carousel,product feature overview for data analytics #dataanalytics,0,Neutral,1631,107,26,13,9,9.5
105,2026-07-08,X,small business,short,simple dashboard insights for small business #smallbusiness,1,Positive,1027,72,17,17,4,10.71
106,2026-07-03,TikTok,fintech,carousel,brand awareness post for fintech #fintech,0,Neutral,2087,80,23,7,8,5.65
107,2026-08-25,LinkedIn,personal finance,short,smart data analytics for personal finance #personalfinance,1,Positive,1303,100,28,8,15,11.59
108,2026-08-17,X,small business,short,expensive campaign loss for small business #smallbusiness,-2,Negative,610,23,6,12,2,7.05
109,2026-06-27,X,ecommerce,carousel,brand awareness post for ecommerce #ecommerce,0,Neutral,1139,64,26,17,19,11.06
110,2026-02-28,LinkedIn,marketing,video,slow support problem for marketing #marketing,-2,Negative,1007,21,17,24,8,6.95
111,2026-07-19,Instagram,personal finance,video,new campaign update for personal finance #personalfinance,0,Neutral,1992,82,47,31,8,8.43
112,2026-08-07,X,personal finance,short,slow support problem for personal finance #personalfinance,-2,Negative,753,30,4,9,11,7.17
113,2026-03-11,X,small business,short,expensive campaign loss for small business #smallbusiness,-2,Negative,1148,64,15,8,17,9.06
114,2026-07-31,Instagram,personal finance,video,slow support problem for personal finance #personalfinance,-2,Negative,1506,51,23,10,4,5.84
115,2026-08-01,X,marketing,short,clear financial education for marketing #marketing,1,Positive,1107,42,13,9,9,6.59
116,2026-03-31,X,fintech,short,fast mobile money growth for fintech #fintech,2,Positive,952,57,12,4,4,8.09
117,2026-07-29,Instagram,ecommerce,carousel,risky payment delay for ecommerce #ecommerce,-1,Negative,1152,23,25,15,3,5.73
118,2026-08-18,Facebook,mobile money,text,slow support problem for mobile money #mobilemoney,-2,Negative,518,19,2,5,2,5.41
119,2026-09-16,Facebook,personal finance,short,clear financial education for personal finance #personalfinance,1,Positive,1436,57,28,38,16,9.68
120,2026-03-09,X,marketing,short,customer feedback summary for marketing #marketing,0,Neutral,1110,66,16,15,5,9.19
121,2026-08-24,Facebook,data analytics,video,simple dashboard insights for data analytics #dataanalytics,1,Positive,1157,79,26,29,7,12.19
122,2026-06-06,LinkedIn,ecommerce,short,slow support problem for ecommerce #ecommerce,-2,Negative,1277,58,10,19,6,7.28
123,2026-04-19,LinkedIn,data analytics,text,smart data analytics for data analytics #dataanalytics,1,Positive,842,59,16,9,9,11.05
124,2026-06-06,LinkedIn,small business,carousel,weekly market note for small business #smallbusiness,0,Neutral,1338,106,25,9,6,10.91
125,2026-01-11,LinkedIn,mobile money,image,weak engagement result for mobile money #mobilemoney,-1,Negative,813,57,6,7,13,10.21
126,2026-04-10,X,small business,image,smart data analytics for small business #smallbusiness,1,Positive,1327,139,15,17,11,13.72
127,2026-03-09,TikTok,marketing,text,weekly market note for marketing #marketing,0,Neutral,1307,76,16,15,8,8.8
128,2026-02-15,X,small business,video,trusted customer service for small business #smallbusiness,1,Positive,1544,129,28,43,26,14.64
129,2026-04-09,X,marketing,image,customer feedback summary for marketing #marketing,0,Neutral,687,43,8,10,1,9.02
130,2026-01-28,TikTok,fintech,short,trusted customer service for fintech #fintech,1,Positive,2354,81,29,55,40,8.71
131,2026-06-28,Instagram,fintech,video,fast mobile money growth for fintech #fintech,2,Positive,2282,96,10,38,37,7.93
132,2026-01-24,X,marketing,image,clear financial education for marketing #marketing,1,Positive,1143,115,10,22,6,13.39
133,2026-08-03,X,small business,video,fast mobile money growth for small business #smallbusiness,2,Positive,901,92,16,16,2,13.98
134,2026-05-07,X,small business,image,trusted customer service for small business #smallbusiness,1,Positive,905,86,10,3,7,11.71
135,2026-01-31,X,mobile money,image,product feature overview for mobile money #mobilemoney,0,Neutral,745,37,6,12,6,8.19
136,2026-04-10,LinkedIn,ecommerce,text,customer feedback summary for ecommerce #ecommerce,0,Neutral,437,15,7,3,5,6.86
137,2026-07-03,TikTok,small business,video,slow support problem for small business #smallbusiness,-2,Negative,1884,42,29,41,13,6.63
138,2026-04-24,Instagram,personal finance,text,trusted customer service for personal finance #personalfinance,1,Positive,1189,62,28,9,12,9.34
139,2026-03-01,TikTok,ecommerce,image,brand awareness post for ecommerce #ecommerce,0,Neutral,1531,84,8,8,22,7.97
140,2026-06-30,Facebook,fintech,video,weekly market note for fintech #fintech,0,Neutral,1484,89,24,33,15,10.85
141,2026-01-11,LinkedIn,small business,carousel,weak engagement result for small business #smallbusiness,-1,Negative,915,28,16,13,11,7.43
142,2026-01-08,Instagram,fintech,carousel,weekly market note for fintech #fintech,0,Neutral,1793,56,18,28,30,7.36
143,2026-09-10,LinkedIn,mobile money,carousel,confusing user journey for mobile money #mobilemoney,-1,Negative,749,46,12,17,6,10.81
144,2026-04-21,X,mobile money,text,simple dashboard insights for mobile money #mobilemoney,1,Positive,390,31,3,3,3,10.26
145,2026-05-12,TikTok,small business,image,customer feedback summary for small business #smallbusiness,0,Neutral,1499,83,7,21,18,8.61
146,2026-01-15,TikTok,ecommerce,carousel,simple dashboard insights for ecommerce #ecommerce,1,Positive,2463,191,56,38,20,12.38
147,2026-02-17,TikTok,data analytics,text,clear financial education for data analytics #dataanalytics,1,Positive,1476,78,24,3,20,8.47
148,2026-01-26,TikTok,data analytics,image,simple dashboard insights for data analytics #dataanalytics,1,Positive,2199,185,30,35,38,13.1
149,2026-05-22,Instagram,personal finance,image,simple dashboard insights for personal finance #personalfinance,1,Positive,1710,76,20,11,9,6.78
150,2026-06-15,LinkedIn,marketing,short,weekly market note for marketing #marketing,0,Neutral,1406,45,20,32,19,8.25
151,2026-08-16,X,marketing,short,brand awareness post for marketing #marketing,0,Neutral,820,52,18,8,11,10.85
152,2026-07-21,Instagram,small business,carousel,clear financial education for small business #smallbusiness,1,Positive,1696,143,6,8,15,10.14
153,2026-05-30,X,fintech,carousel,weekly market note for fintech #fintech,0,Neutral,881,70,9,17,2,11.12
154,2026-04-30,TikTok,mobile money,text,weekly market note for mobile money #mobilemoney,0,Neutral,1330,118,6,15,21,12.03
155,2026-01-01,TikTok,data analytics,video,confusing user journey for data analytics #dataanalytics,-1,Negative,1990,132,31,57,35,12.81
156,2026-06-05,Facebook,marketing,carousel,customer feedback summary for marketing #marketing,0,Neutral,800,28,16,15,12,8.88
157,2026-06-08,Facebook,marketing,video,weekly market note for marketing #marketing,0,Neutral,1122,100,5,10,13,11.41
158,2026-08-21,TikTok,personal finance,carousel,risky payment delay for personal finance #personalfinance,-1,Negative,1533,106,14,12,14,9.52
159,2026-07-09,Instagram,fintech,text,product feature overview for fintech #fintech,0,Neutral,691,23,11,9,8,7.38
160,2026-03-06,Instagram,ecommerce,short,weekly market note for ecommerce #ecommerce,0,Neutral,1941,80,43,21,30,8.96
161,2026-04-02,LinkedIn,small business,short,brand awareness post for small business #smallbusiness,0,Neutral,1328,42,14,25,6,6.55
162,2026-01-22,Instagram,ecommerce,image,confusing user journey for ecommerce #ecommerce,-1,Negative,1158,49,22,14,14,8.55
163,2026-01-04,TikTok,data analytics,video,trusted customer service for data analytics #dataanalytics,1,Positive,2937,258,46,70,46,14.3
164,2026-06-07,X,data analytics,carousel,smart data analytics for data analytics #dataanalytics,1,Positive,1007,67,20,10,16,11.22
165,2026-07-09,TikTok,fintech,carousel,brand awareness post for fintech #fintech,0,Neutral,1755,150,33,24,30,13.5
166,2026-04-24,Instagram,ecommerce,carousel,risky payment delay for ecommerce #ecommerce,-1,Negative,1513,94,29,30,19,11.37
167,2026-04-19,TikTok,ecommerce,text,brand awareness post for ecommerce #ecommerce,0,Neutral,1321,93,24,8,21,11.05
168,2026-06-05,X,marketing,video,trusted customer service for marketing #marketing,1,Positive,920,57,4,19,2,8.91
169,2026-04-29,Instagram,personal finance,carousel,weekly market note for personal finance #personalfinance,0,Neutral,1734,96,40,38,7,10.44
170,2026-06-17,LinkedIn,ecommerce,carousel,fast mobile money growth for ecommerce #ecommerce,2,Positive,1110,47,12,18,15,8.29
171,2026-07-12,LinkedIn,mobile money,image,clear financial education for mobile money #mobilemoney,1,Positive,1044,45,6,6,8,6.23
172,2026-06-26,X,ecommerce,carousel,fast mobile money growth for ecommerce #ecommerce,2,Positive,1298,124,23,30,19,15.1
173,2026-07-05,TikTok,ecommerce,short,simple dashboard insights for ecommerce #ecommerce,1,Positive,2703,234,49,29,39,12.99
174,2026-05-25,LinkedIn,personal finance,short,clear financial education for personal finance #personalfinance,1,Positive,1457,101,30,8,22,11.05
175,2026-02-27,TikTok,personal finance,text,clear financial education for personal finance #personalfinance,1,Positive,1403,59,25,8,13,7.48
176,2026-09-05,Facebook,ecommerce,video,weekly market note for ecommerce #ecommerce,0,Neutral,1461,72,21,42,20,10.61
177,2026-04-01,Instagram,fintech,text,product feature overview for fintech #fintech,0,Neutral,1106,70,11,7,4,8.32
178,2026-06-15,LinkedIn,small business,video,clear financial education for small business #smallbusiness,1,Positive,1412,133,33,35,15,15.3
179,2026-07-31,TikTok,data analytics,image,brand awareness post for data analytics #dataanalytics,0,Neutral,1602,109,31,17,25,11.36
180,2026-01-31,LinkedIn,small business,video,fast mobile money growth for small business #smallbusiness,2,Positive,1308,65,6,25,15,8.49
181,2026-08-17,Instagram,small business,short,clear financial education for small business #smallbusiness,1,Positive,2214,186,10,31,18,11.07
182,2026-06-02,LinkedIn,fintech,short,clear financial education for fintech #fintech,1,Positive,1625,168,14,37,13,14.28
183,2026-07-30,Instagram,personal finance,image,smart data analytics for personal finance #personalfinance,1,Positive,1343,99,28,4,7,10.28
184,2026-07-17,LinkedIn,small business,image,fast mobile money growth for small business #smallbusiness,2,Positive,822,82,7,9,6,12.65
185,2026-03-15,Facebook,ecommerce,short,expensive campaign loss for ecommerce #ecommerce,-2,Negative,1062,55,7,5,12,7.44
186,2026-09-03,Facebook,data analytics,short,simple dashboard insights for data analytics #dataanalytics,1,Positive,1437,67,10,6,16,6.89
187,2026-07-30,Instagram,small business,carousel,simple dashboard insights for small business #smallbusiness,1,Positive,1913,100,20,24,7,7.89
188,2026-09-18,TikTok,data analytics,text,trusted customer service for data analytics #dataanalytics,1,Positive,1398,130,14,7,6,11.23
189,2026-03-13,LinkedIn,personal finance,text,trusted customer service for personal finance #personalfinance,1,Positive,728,73,7,2,4,11.81
190,2026-01-20,X,data analytics,carousel,trusted customer service for data analytics #dataanalytics,1,Positive,866,70,16,18,7,12.82
191,2026-09-04,TikTok,personal finance,text,customer feedback summary for personal finance #personalfinance,0,Neutral,1030,70,6,15,2,9.03
192,2026-02-10,Instagram,marketing,video,product feature overview for marketing #marketing,0,Neutral,1981,110,49,22,14,9.84
193,2026-08-15,Facebook,ecommerce,text,brand awareness post for ecommerce #ecommerce,0,Neutral,688,39,4,7,8,8.43
194,2026-07-18,Facebook,mobile money,short,fast mobile money growth for mobile money #mobilemoney,2,Positive,1682,129,32,45,25,13.73
195,2026-06-09,Facebook,mobile money,video,simple dashboard insights for mobile money #mobilemoney,1,Positive,1476,116,14,22,5,10.64
196,2026-07-19,X,mobile money,short,weekly market note for mobile money #mobilemoney,0,Neutral,622,45,3,14,8,11.25
197,2026-07-27,Instagram,data analytics,short,fast mobile money growth for data analytics #dataanalytics,2,Positive,1875,121,33,8,14,9.39
198,2026-02-14,LinkedIn,small business,text,trusted customer service for small business #smallbusiness,1,Positive,761,60,14,3,7,11.04
199,2026-06-26,LinkedIn,personal finance,short,trusted customer service for personal finance #personalfinance,1,Positive,1203,68,18,18,13,9.73
200,2026-07-21,Facebook,ecommerce,short,simple dashboard insights for ecommerce #ecommerce,1,Positive,1001,94,24,18,2,13.79
201,2026-01-14,TikTok,mobile money,short,trusted customer service for mobile money #mobilemoney,1,Positive,2480,197,42,66,27,13.39
202,2026-08-31,Facebook,marketing,text,weak engagement result for marketing #marketing,-1,Negative,814,34,19,4,13,8.6
203,2026-08-12,Instagram,mobile money,image,new campaign update for mobile money #mobilemoney,0,Neutral,1717,86,33,12,6,7.98
204,2026-09-17,X,data analytics,carousel,product feature overview for data analytics #dataanalytics,0,Neutral,992,49,15,23,8,9.58
205,2026-01-31,LinkedIn,data analytics,image,simple dashboard insights for data analytics #dataanalytics,1,Positive,1188,118,24,11,16,14.23
206,2026-03-03,Instagram,mobile money,carousel,risky payment delay for mobile money #mobilemoney,-1,Negative,1588,51,8,34,15,6.8
207,2026-04-10,LinkedIn,ecommerce,short,fast mobile money growth for ecommerce #ecommerce,2,Positive,1692,100,9,34,23,9.81
208,2026-01-04,LinkedIn,personal finance,short,customer feedback summary for personal finance #personalfinance,0,Neutral,1053,51,18,19,3,8.64
209,2026-05-10,Facebook,small business,short,risky payment delay for small business #smallbusiness,-1,Negative,873,63,7,7,6,9.51
210,2026-04-19,X,mobile money,video,clear financial education for mobile money #mobilemoney,1,Positive,1271,82,29,20,18,11.72
211,2026-01-10,TikTok,ecommerce,short,new campaign update for ecommerce #ecommerce,0,Neutral,1790,148,14,31,20,11.9
212,2026-05-13,LinkedIn,mobile money,short,trusted customer service for mobile money #mobilemoney,1,Positive,1514,93,23,38,17,11.29
213,2026-07-04,LinkedIn,data analytics,short,slow support problem for data analytics #dataanalytics,-2,Negative,1184,40,28,12,9,7.52
214,2026-09-05,Instagram,personal finance,image,weekly market note for personal finance #personalfinance,0,Neutral,1382,96,32,26,10,11.87
215,2026-04-05,Facebook,marketing,image,weekly market note for marketing #marketing,0,Neutral,801,47,6,9,3,8.11
216,2026-05-25,X,personal finance,image,brand awareness post for personal finance #personalfinance,0,Neutral,386,29,4,5,6,11.4
217,2026-06-08,Facebook,mobile money,carousel,slow support problem for mobile money #mobilemoney,-2,Negative,843,45,15,6,4,8.3
218,2026-04-13,Instagram,mobile money,text,simple dashboard insights for mobile money #mobilemoney,1,Positive,645,56,11,3,6,11.78
219,2026-03-08,TikTok,marketing,short,new campaign update for marketing #marketing,0,Neutral,2222,174,28,57,21,12.6
220,2026-07-31,LinkedIn,ecommerce,text,clear financial education for ecommerce #ecommerce,1,Positive,878,87,8,3,11,12.41
221,2026-05-06,Facebook,fintech,video,confusing user journey for fintech #fintech,-1,Negative,619,27,3,10,5,7.27
222,2026-09-09,X,mobile money,short,weekly market note for mobile money #mobilemoney,0,Neutral,901,28,18,22,13,8.99
223,2026-09-16,TikTok,fintech,image,clear financial education for fintech #fintech,1,Positive,1828,115,26,8,7,8.53
224,2026-06-04,X,small business,carousel,brand awareness post for small business #smallbusiness,0,Neutral,974,29,9,9,6,5.44
225,2026-01-29,Instagram,small business,text,expensive campaign loss for small business #smallbusiness,-2,Negative,740,49,10,1,6,8.92
226,2026-02-08,X,data analytics,text,risky payment delay for data analytics #dataanalytics,-1,Negative,105,3,1,1,0,4.76
227,2026-03-05,TikTok,small business,image,clear financial education for small business #smallbusiness,1,Positive,1787,127,28,8,11,9.74
228,2026-01-20,LinkedIn,ecommerce,text,simple dashboard insights for ecommerce #ecommerce,1,Positive,772,66,18,2,2,11.4
229,2026-08-12,TikTok,data analytics,carousel,trusted customer service for data analytics #dataanalytics,1,Positive,2214,148,42,30,25,11.07
230,2026-07-12,LinkedIn,small business,short,fast mobile money growth for small business #smallbusiness,2,Positive,1530,161,37,41,20,16.93
231,2026-03-03,TikTok,personal finance,video,new campaign update for personal finance #personalfinance,0,Neutral,2424,202,59,71,33,15.06
232,2026-06-17,Facebook,data analytics,image,confusing user journey for data analytics #dataanalytics,-1,Negative,794,52,9,13,12,10.83
233,2026-04-22,Facebook,fintech,image,weekly market note for fintech #fintech,0,Neutral,823,67,17,10,8,12.39
